artist,genre,pronoun,artistUrl,songUrl,alias1,alias2
$ombi,left field,she,https://soundcloud.com/som_bi,https://soundcloud.com/raiders_records/sombi-somthingoutthere,,
2JACK4U,acid,"group - she, he",https://soundcloud.com/2jack4u,https://soundcloud.com/discosparaiso/b2-2jack4u-tape-recognition-1,,
Aadja,techno,she,https://soundcloud.com/aadja,https://soundcloud.com/triprecordings/sets/aadja-thought-dealer,,
Abby Echiverri,acid,she,https://soundcloud.com/echiverri,https://www.youtube.com/watch?v=vbdeztiO2eQ,,
Adiel,techno,she,https://soundcloud.com/a-diel,https://www.youtube.com/watch?v=3yNJtrD-63o,,
Adriana Lopez,techno,she,https://soundcloud.com/adrianalopez,https://www.youtube.com/watch?v=m5Ph82XTS50,,
Afrodeutsche,left field,she,https://soundcloud.com/afrodeutsche-ad,https://www.youtube.com/watch?v=nCmb-Cux3aE,,
Ahju,house,she,https://soundcloud.com/ahju_ahju_ahju,https://soundcloud.com/mixmag-1/premiere-ahju-cause-i?in=ahju_ahju_ahju/sets/releases,,
ahyt,left field,she,https://soundcloud.com/ahyt,https://soundcloud.com/co-select/ahyt-grovular-groove-1?in=co-select/sets/co-selection-vol-1,,
AK Sports,left field,she,https://soundcloud.com/aksportsdj,https://soundcloud.com/aksportsdj/sports-professor-bitch?in=aksportsdj/sets/ak-sports-originals, Sports,
Akiko Haruna,expirimental ,she,https://soundcloud.com/akikoharuna,https://soundcloud.com/mixmag-1/premiere-akiko-haruna-die-retry,,
AKKI,techno,she,https://soundcloud.com/akkimusicworld,https://soundcloud.com/wostreettracks/akki-she-doesnt-know-wo062-1?in=akkimusicworld/sets/akki-she-doesnt-know-out-now,,
Alicia Hush,house,she,https://soundcloud.com/alicia-hush,https://soundcloud.com/klangscheiben/alicia-hush-bernie-cheetahcoot?in=klangscheiben/sets/ksr058-alicia-hush-here-to, Felicia Rush,
Almaty,house,she,https://soundcloud.com/almaty-international,https://www.youtube.com/watch?v=oZh6wx_c7sI,,
Amamelia,left field,she,https://soundcloud.com/amamelia,https://soundcloud.com/les-yeux-orange/premiere-amamelia-unshelter-me,,
Amazondotcom,left field,she,https://soundcloud.com/amazondotcom,https://www.youtube.com/watch?v=BM7rfgqVlh8,,
Amy Dabbs,house,she,https://m.soundcloud.com/amydabbs,https://m.soundcloud.com/amydabbs/mellowday/reposts,,
An On Bast,techno,she,https://soundcloud.com/an_on_bast,https://soundcloud.com/an_on_bast/listen?in=an_on_bast/sets/an-on-bast-stay-super-ep-ghost-11,,
Anastasia Zems,left field,she,https://soundcloud.com/anastasiazems,https://soundcloud.com/visceramusic/premiere-anastasia-zems-karabhah-ida?in=idasound/sets/anastasia-zems-nomad-on-the,,
Andy Garvey,left field,she,https://soundcloud.com/andygarveyandygarvey,https://www.youtube.com/watch?v=ujn-e6ViGRY,,
Anetha,techno,she,https://soundcloud.com/anethamusic,https://www.youtube.com/watch?v=XHyr6oBu5K8,,
Anfisa Letyago,house,she,https://soundcloud.com/user-anfisaletyagodj,https://soundcloud.com/user-anfisaletyagodj/rekids-anfisa-letyago-pump-it?in=user-anfisaletyagodj/sets/anfisa-letyago-id-rather-b,,
angel d'lite,left field,she,https://soundcloud.com/angeldlite,https://thebirdsthatmimicsolitude.bandcamp.com/track/transcendental-wish,,
Angel-Ho,expirimental ,she,https://soundcloud.com/angel-h0,https://soundcloud.com/fadermedia/angel-ho-exoucie,,
Ani Klang,expirimental ,she,https://soundcloud.com/aniklang,https://soundcloud.com/aniklang/pianosmash?in=aniklang/sets/tracks-singles,,
Animistic Beliefs,techno,"group - she, he",https://soundcloud.com/animisticbeliefs,https://www.youtube.com/watch?v=80C5acncyjU,,
Anja Schneider,techno,she,https://soundcloud.com/anjaschneider,https://soundcloud.com/djmag/premiere-anja-schneider-far-side-of-the-moon?in=djmag/sets/dj-mag-premieres,,
Anna Meredith,expirimental ,she,https://soundcloud.com/annameredith,https://www.youtube.com/watch?v=zdqSNBqETAc,,
Anna Morgan,bass,she,https://soundcloud.com/annamorgan_dj,https://soundcloud.com/bass-c0ast/turbo-moto-idratherberaving?in=annamorgan_dj/sets/trax,,
Anna Wall,house,she,https://soundcloud.com/djannawall,https://soundcloud.com/four-heads/premiere-anna-wall-corbi-dat-1-ritual-poison?in=djannawall/sets/originals-remixes,,
Annie Hall,acid,she,https://soundcloud.com/anniehallmusic,https://www.zwartgoud.org/electro/musar004,,
Ans M,left field,she,https://soundcloud.com/anssss,https://soundcloud.com/tobago-tracks/ans-m-dust-devils?in=tobago-tracks/sets/ans-m-petrichor-1,,
Anushka ,left field,she,https://soundcloud.com/anushka,https://soundcloud.com/slowdance/a1-high-altai?in=slowdance/sets/slwdnc006-anushka-lucid-dreams-of-siberian-ice-maiden,,
Anz,house,she,https://soundcloud.com/yung-anz,https://soundcloud.com/yung-anz/anz-no-harm?in=yung-anz/sets/anz-invitation-2-dance-out-4th,,
Aos,techno,she,https://soundcloud.com/aosseattle,https://www.youtube.com/watch?v=Ug_Pr95lt1M,,
Arca,expirimental ,she,https://soundcloud.com/arca1000000,https://www.youtube.com/watch?v=PwXOgzmTbVU,,
Ariel Zetina,left field,she,https://soundcloud.com/arielzetina,https://www.youtube.com/watch?v=Fwe2A-qnfms,,
Aroha,house,she,https://soundcloud.com/aroha,https://soundcloud.com/aroha/l2k-master?in=aroha/sets/no-more-jenga,,
Ash Lauryn,left field,she,https://soundcloud.com/ashlauryn,https://soundcloud.com/ashlauryn/lets-get-the-rhythm-ft-ash-lauryn-stefan-ringer,,
Asmara,left field,she,https://soundcloud.com/ma-deejay,https://soundcloud.com/ma-deejay/deviant-eyes,,
Astrid Sonne,expirimental ,she,https://soundcloud.com/a_sonne,https://soundcloud.com/a_sonne/life-2,,
Auco,left field,they,https://soundcloud.com/auco23,https://soundcloud.com/infinitequestrecords/auco-ep-2-playtime?in=infinitequestrecords/sets/auco-ep,,
Aurora Halal,techno,she,https://soundcloud.com/itsallhalal,https://www.youtube.com/watch?v=wGGHr3hsfNc,,
Aurora T-09,techno,she,https://soundcloud.com/aurat09,https://soundcloud.com/evar-records/aura-t-09-feat-bootee-in-dreams,,
Avalon Emerson,house,she,https://soundcloud.com/avalonemerson,https://www.youtube.com/watch?v=D5xSnNb7co4,,
Ayesha,left field,she,https://soundcloud.com/aye5ha,https://soundcloud.com/aye5ha/ayesha-party-in-the-street-dt001?in=aye5ha/sets/1-awfs-comp-trax,,
B.Ames,pop,she,https://soundcloud.com/b-ames,https://soundcloud.com/b-ames/reaction,,
B.Traits,house,she,https://soundcloud.com/btraits,https://soundcloud.com/djmag/premiere-baby-t-i-wish, Baby T,
Babii,expirimental ,she,https://soundcloud.com/babiibabiibabii,https://soundcloud.com/babiibabiibabii/ember-2,,
Baby Blue,expirimental ,she,https://soundcloud.com/gutted-angel,https://soundcloud.com/gutted-angel/there-must-be-more-to-life,,
badsista,left field,she,https://soundcloud.com/badsista,https://soundcloud.com/djmag/premiere-badsista-machooka,,
Baka G,house,she,https://soundcloud.com/bakagmusique,https://soundcloud.com/moskalus/premiere-baka-g-chaussee-dixelles-label-affaire-records?ref=clipboard&p=a&c=0&utm_campaign=social_sharing&utm_medium=text&utm_source=clipboard,,
Bamz,uk funky,they,https://soundcloud.com/bamzdmg,https://soundcloud.com/djmag/premiere-bamz-dominate,,
bearcat,expirimental ,she,https://soundcloud.com/bearcats_mixtapes,https://soundcloud.com/bearcats_mixtapes/viva,,
Beatrice Dillon,left field,she,https://soundcloud.com/beatricedillon,https://www.youtube.com/watch?v=yjNpCM7LH1c,,
Bella Boo,house,she,https://soundcloud.com/bellaboo-music,https://www.youtube.com/watch?v=IC7HWnncSdo,,
BELLACROSS,house,she,https://soundcloud.com/bellacross,https://www.youtube.com/watch?v=5JCcAjcH1NY,,
benzii,techno,she,https://soundcloud.com/callmebenzii,https://soundcloud.com/callmebenzii/butterflies,,
Bergsonist,house,she,https://soundcloud.com/bergsonist,https://www.youtube.com/watch?v=JUfpZ1Rzd7Q,,
Beta Librae,left field,she,https://soundcloud.com/blibrae,https://www.youtube.com/watch?v=hFcLO4yadmM,,
Beth Alana,left field,she,https://soundcloud.com/bethalana,https://soundcloud.com/mottosono/phenomenon?in=bethalana/sets/traxx,,
Beyun,acid,she,https://soundcloud.com/djbeyun,https://soundcloud.com/dancefloorromancer/premiere-beyun-nite-trippin-afro-acid?in=djbeyun/sets/productions,,
Bianca Oblivion,bass,she,https://soundcloud.com/biancaoblivion,https://soundcloud.com/manrecordings/pelao-bianca-oblivion-remix?in=biancaoblivion/sets/pelaoremix,,
Bianca Scout,expirimental ,she,https://soundcloud.com/bb-scout-22222,https://soundcloud.com/bb-scout-22222/passage,,
Billie Jo,techno,she,https://soundcloud.com/billiejo1,https://soundcloud.com/bcco/bcco-premiere-billie-jo-you-make-everyone-disappear-act005,,
Bklava,garage,she,https://soundcloud.com/bklavadj,https://soundcloud.com/bklavadj/thinkin-of-you-radio-edit,,
Black Girl White Girl,house,"group - she, she",https://soundcloud.com/officialbgwg,https://soundcloud.com/djmag/premiere-black-girl-white-girl-cinderella-99?in=officialbgwg/sets/discography,,
Blasha & Allatt,house,"group - she, she",https://soundcloud.com/blasha-allatt,https://soundcloud.com/ben-sims/31-blasha-allatt-broughton-93,,
Bleid,left field,she,https://soundcloud.com/bleiddd,https://soundcloud.com/naivetrax/a1-violet-x-bleid-badness?in=bleiddd/sets/tracks,,
Bleie,expirimental ,she,https://soundcloud.com/bleie,https://soundcloud.com/lastfaithstudio/bleie-promo,,
Blissai,bass,she,https://soundcloud.com/blissainai,https://soundcloud.com/blissainai/misseee,,
bloody mary ,acid,she,https://soundcloud.com/bloody-mary,https://www.youtube.com/watch?v=Ha8__q1RWgI,,
